modelo,prompt,metrica,count,mean,std,median,iqr,q25,q75,min,max
sabia_300-500,Zero_Shot,flesch,23,14.26224,47.49951,21.97362,28.86743,9.87542,38.74285,-157.10563,59.99041
sabia_300-500,Zero_Shot,words_per_sentence,23,32.02013,47.77874,19.0,12.76742,11.87244,24.63986,5.05882,228.5
sabia_300-500,Zero_Shot,sentences_per_paragraph,23,7.72575,8.84461,4.0,10.18108,1.81892,12.0,1.0,37.0
sabia_300-500,Zero_Shot,syllables_per_content_word,23,3.02781,0.30444,3.05106,0.4165,2.82619,3.24269,2.54762,3.61
sabia_300-500,Zero_Shot,cw_freq_brwac,23,3.86526,0.67133,3.99673,0.86627,3.46682,4.3331,2.35633,5.08432
sabia_300-500,Zero_Shot,noun_ratio,23,0.44685,0.14684,0.40964,0.14875,0.35527,0.50402,0.22366,0.91304
sabia_300-500,Zero_Shot,ttr,23,0.57414,0.22452,0.67929,0.32333,0.41312,0.73645,0.1024,0.85507
sabia_300-500,Zero_Shot,gunning_fox,23,28.95075,17.82042,24.26051,5.94474,20.83953,26.78428,17.95376,99.7151
sabia_300-500,Zero_Shot,brunet,23,16.19425,7.17532,12.44465,9.4061,11.43372,20.83982,8.4968,32.65119
sabia_300-500,Zero_Shot,honore,23,809.24615,375.60542,759.44368,571.46147,510.04215,1081.50362,258.62949,1549.88709
